command
alias
apt
bzip2
cat
cd
chattr
chmod
chown
chroot
clear
cmp
comm
cp
cron
dd
df
diff
dmesg
dnf
dpkg
du
echo
env
export
fdisk
find
fsck
getopt
grep
gzip
head
history
hostname
htop
ifconfig
init
iptables
jed
jobs
kill
killall
less
ln
locate
ls
man
mkdir
modprobe
more
mount
mv
nano
nc
netstat
nohup
nslookup
pacman
passwd
ping
ps
pwd
rm
rmdir
route
rpm
service
sleep
sort
ssh
su
sudo
tail
tar
tee
touch
traceroute
tty
umount
unalias
uname
unzip
useradd
userdel
usermod
vi
wget
whatis
whereis
whoami
xargs
yum
zip
